run_id,boat_id,wafer_id,wafer_label,wafer_number,position,position_code,wafer_broken_flag,valid_final_measurement,temp_C,oxidation_time_min,loading_time_min,unloading_time_min,cooling_time_min,native_oxide_nm,native_std_nm,native_uniformity,final_thickness_nm,final_std_nm,final_uniformity,growth_nm,pair_pct_difference,master_row,predicted_growth_nm,residual_nm
R01,1,W01,1.0,1,source,0,False,True,1000.0,43.2,1.7166666666666666,1.2666666666666666,15.0,3.137,0.085,0.973,65.783,3.764,0.943,62.646,10.86,3,247.70175565138726,-185.05575565138724
R01,1,W02,2.0,2,door,1,False,True,1000.0,43.2,1.7166666666666666,1.2666666666666666,15.0,3.103,0.139,0.955,58.639,2.283,0.961,55.536,,4,247.70175565138726,-192.16575565138726
R02,2,W03,3.0,3,source,0,False,True,1000.0,27.916666666666668,1.1,0.7666666666666667,13.0,3.041,0.1076750338,0.965,70.532,5.736,0.919,67.491,16.68,5,192.47102045083716,-124.98002045083716
R02,2,W04,4.0,4,door,1,False,True,1000.0,27.916666666666668,1.1,0.7666666666666667,13.0,2.963,0.03483116588,0.988,58.767,2.033,0.965,55.804,,6,192.47102045083716,-136.66702045083716
R03,3,W05,5 (broken),5,source,0,True,True,1000.0,14.033333333333331,0.9333333333333332,1.0333333333333334,,2.941,0.01787282669,0.994,27.633,1.24,0.955,24.692,8.269,7,133.50262038038414,-108.81062038038414
R03,3,W06,6.0,6,door,1,False,True,1000.0,14.033333333333331,0.9333333333333332,1.0333333333333334,,3.028,0.1181646672,0.961,25.348,1.081,0.957,22.32,,8,133.50262038038414,-111.18262038038415
R04,4,W07,7.0,7,source,0,False,True,1050.0,44.483333333333334,0.95,1.4833333333333334,10.0,2.93,0.0406299226,0.986,253.42,7.297,0.971,250.49,7.167,9,340.62831542509394,-90.13831542509394
R04,4,W08,8.0,8,door,1,False,True,1050.0,44.483333333333334,0.95,1.4833333333333334,10.0,2.909,0.02396527,0.992,235.258,4.669,0.98,232.349,,10,340.62831542509394,-108.27931542509396
R05,5,W09,9.0,9,source,0,False,True,1050.0,28.216666666666665,0.7833333333333333,1.25,10.0,2.927,0.0441738212,0.985,140.544,8.895,0.937,137.61700000000002,9.592,11,268.77677850209545,-131.15977850209543
R05,5,W10,10.0,10,door,1,False,True,1050.0,28.216666666666665,0.7833333333333333,1.25,10.0,2.949,0.07681217224,0.974,127.063,4.256,0.967,124.114,,12,268.77677850209545,-144.66277850209545
